feature_id,layer,cwe_id,score,hist_dist,delta_mu,ks_stat,freq_unsafe,freq_safe,kept,source
9816,16,CWE-327,0.3096,0.2,0.5204,0.1071,0.3929,0.2506,True,cyber_dev
2917,16,CWE-327,0.3061,0.1286,0.5509,0.1714,0.1429,0.2993,True,cyber_dev
11877,16,CWE-327,0.2821,0.1714,0.4659,0.1357,0.1786,0.2468,True,cyber_dev
25717,16,CWE-327,0.278,0.2714,0.3557,0.1357,0.3571,0.2902,True,cyber_dev
19741,16,CWE-327,0.2776,0.15,0.4904,0.1071,0.1786,0.0876,True,cyber_dev
17518,16,CWE-327,0.2656,0.1643,0.4247,0.15,0.1786,0.0335,True,cyber_dev
19743,16,CWE-327,0.2641,0.2071,0.3674,0.1714,0.4643,0.3945,True,cyber_dev
26373,16,CWE-327,0.2567,0.1571,0.4345,0.1,0.1071,0.198,True,cyber_dev
8219,16,CWE-327,0.2473,0.1071,0.4611,0.1,0.1071,0.0198,True,cyber_dev
10281,16,CWE-327,0.2426,0.1786,0.36,0.1357,0.1071,0.2216,True,cyber_dev
5407,16,CWE-327,0.2329,0.2143,0.3001,0.1357,0.4643,0.5202,True,cyber_dev
12340,16,CWE-327,0.2194,0.0929,0.4091,0.0929,0.1429,0.179,True,cyber_dev
28170,16,CWE-327,0.216,0.1,0.3899,0.1,0.1429,0.1942,True,cyber_dev
12779,16,CWE-327,0.2132,0.0714,0.4259,0.0714,0.0714,0.0076,True,cyber_dev
26413,16,CWE-327,0.2104,0.1071,0.3652,0.1071,0.1071,0.0312,True,cyber_dev
16532,16,CWE-327,0.2084,0.0929,0.3816,0.0929,0.1429,0.1805,True,cyber_dev
23681,16,CWE-327,0.2081,0.0929,0.381,0.0929,0.1429,0.1782,True,cyber_dev
27644,16,CWE-327,0.2044,0.0929,0.3717,0.0929,0.1429,0.1896,True,cyber_dev
5570,16,CWE-327,0.2018,0.0929,0.3652,0.0929,0.1429,0.179,True,cyber_dev
28022,16,CWE-327,0.1961,0.1071,0.3295,0.1071,0.0,0.0906,False,cyber_dev
3121,16,CWE-327,0.1927,0.0714,0.3746,0.0714,0.0714,0.0069,True,cyber_dev
13031,16,CWE-327,0.1882,0.0714,0.3634,0.0714,0.0714,0.0107,True,cyber_dev
26274,16,CWE-327,0.183,0.1571,0.2396,0.1214,0.25,0.1508,True,cyber_dev
24656,16,CWE-327,0.1758,0.1643,0.2359,0.0786,0.1786,0.0998,True,cyber_dev
30216,16,CWE-327,0.1737,0.0714,0.3308,0.0643,0.0714,0.0091,True,cyber_dev
11177,16,CWE-327,0.1723,0.0357,0.3771,0.0357,0.0357,0.0023,True,cyber_dev
6219,16,CWE-327,0.1702,0.1,0.2827,0.0857,0.1071,0.048,True,cyber_dev
10303,16,CWE-327,0.1701,0.1071,0.2646,0.1071,0.1071,0.0038,True,cyber_dev
29717,16,CWE-327,0.1689,0.0357,0.3688,0.0357,0.0357,0.0,True,cyber_dev
8413,16,CWE-327,0.1672,0.0929,0.2787,0.0929,0.1429,0.1828,True,cyber_dev
9416,16,CWE-327,0.1657,0.1071,0.2535,0.1071,0.1786,0.2064,True,cyber_dev
5835,16,CWE-327,0.1637,0.0714,0.302,0.0714,0.0714,0.0023,True,cyber_dev
